 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          3          3.00000000       4          9.00226390e-01   2.03911074e+00   0.00000000e+00   5.77495745e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.71448593e+00   0.00000000e+00   0.00000000e+00   -1.91349194e-04 
 1          3          3.00000000       5          6.91419057e-01   8.71448593e+00   0.00000000e+00   1.96679010e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.13726607e+01   0.00000000e+00   0.00000000e+00   3.44194601e-05  
 1          3          3.00000000       6          7.04534529e-01   1.13726607e+01   0.00000000e+00   2.86623280e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.49434047e+01   0.00000000e+00   0.00000000e+00   2.32769991e-05  
 1          3          3.00000000       7          5.04418088e-01   1.49434047e+01   0.00000000e+00   6.20117023e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.16490596e+01   0.00000000e+00   0.00000000e+00   -6.65758770e-05 
 1          3          3.00000000       8          5.12714001e-01   2.16490596e+01   0.00000000e+00   1.83625799e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.39980424e+01   0.00000000e+00   0.00000000e+00   -1.08237790e-05 
 1          3          3.00000000       9          3.37289400e-01   2.39980424e+01   0.00000000e+00   2.78268611e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.71180371e+01   0.00000000e+00   0.00000000e+00   -1.91484865e-05 
 1          3          3.00000000       10         3.46820078e-01   2.71180371e+01   0.00000000e+00   5.54944784e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.30143352e+01   0.00000000e+00   0.00000000e+00   -3.01707495e-05 
 1          3          3.00000000       11         1.88450524e-01   3.30143352e+01   0.00000000e+00   1.91331255e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.50934064e+01   0.00000000e+00   2.27804438e-02   -8.85627083e-05 
 1          3          3.00000000       12         2.25207266e-01   3.50934064e+01   0.00000000e+00   2.80053751e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.79265447e+01   0.00000000e+00   1.92777716e-01   -1.71245041e-04 
 1          3          3.00000000       13         9.43186121e-02   3.79265447e+01   0.00000000e+00   6.06875826e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.35935971e+01   0.00000000e+00   4.95767707e-01   2.56766003e-04  
